"id_intencao","palavras_chave","tipo_resposta","resposta_padrao","pergunta_followup","peso"
"sug_tecido_uso","qual tecido|que tecido|melhor tecido pra|tecido ideal|sugere tecido|recomenda tecido","guiada","Para qual uso você quer indicação de tecido?","Escolha uma opção: Clima quente|Clima frio|Uso diário|Esporte|Ocasião formal","4"
"sug_tec_quente","tecido pra calor|tecido fresco|tecido leve|tecido respirável|tecido pra verão","direta","Para calor: linho (fresco e respirável), algodão leve (140g), viscose (cai bem e ventila), meia-malha penteada. Evite poliéster puro no calor — abafa.","","6"
"sug_tec_frio","tecido pra frio|tecido quente|tecido grosso|tecido pra inverno","direta","Para frio: moletom flanelado (280g+), moletom peluciado, lã (peças sofisticadas), jeans pesado. Sobreposições funcionam melhor que uma única peça grossa.","","6"
"sug_tec_diario","tecido resistente|tecido durável|tecido pra usar muito|tecido prático","direta","Para uso diário: algodão (durável, lavável, não amarrota tanto), malha mista (algodão + poliéster — resistente e fácil de cuidar), jeans para parte de baixo.","","6"
"sug_tec_esporte","tecido esportivo|tecido pra suor|tecido pra academia|tecido dry|tecido elástico","direta","Para esporte: poliéster dry fit (seca rápido, leve), suplex (elástico, ideal para legging), microfibra anti-odor. Tecidos com tecnologia performam melhor que algodão para suor.","","6"
"sug_tec_formal","tecido formal|tecido elegante|tecido sofisticado|tecido pra festa|tecido com brilho","direta","Para ocasião formal: viscose, alfaiataria (lã com poliéster), seda sob demanda (parceiros com bem-estar animal certificado), algodão pima penteado. Tecidos com caimento e brilho discreto.","","6"
"tec_cores_estoque","cor do tecido|cores do tecido em estoque|tecido nas 12 cores|tecido branco|tecido preto|cores de tecido","direta","Mantemos os tecidos básicos (algodão básico, malha mista, moletom) nas 12 cores de estoque permanente: branco, preto, cinza mescla, cinza chumbo, marinho, royal, vermelho, vinho, verde militar, verde bandeira, amarelo e rosa. Outros tecidos (linho, viscose, etc) têm paleta mais restrita.","","6"
"disponibilidade_materiais","disponibilidade|matéria-prima disponível|material em estoque|matéria-prima|materia prima|tecido em estoque|tecido disponível|material disponivel|tem material","direta","A disponibilidade de matéria-prima é controlada pelo setor de almoxarifado, atualizada diariamente. Para consulta em tempo real sobre um material específico, vou te encaminhar.","","6"
"reposicao_estoque","reposição|reposicao|vai ter de novo|quando volta|quando repõe|tá esgotado|esgotou|sem estoque","direta","Reposição de matéria-prima é decisão do setor de compras, que considera demanda e prazo dos fornecedores. Em média, tecidos básicos são repostos a cada 30 dias. Para informação específica de quando determinado material volta, vou te encaminhar ao almoxarifado.","","6"
"pronta_entrega","pronta entrega|prontas|peça pronta|peças prontas|tem em estoque pra entrega|envio imediato|imediato","direta","A Fashion Flow trabalha sob demanda — produzimos após o pedido confirmado. Não mantemos estoque de peças prontas (apenas de matéria-prima nas 12 cores). Para envio imediato, o setor de vendas pode verificar se há sobras de produção recente.","","6"
"previsao_prazo","previsão|previsao|prazo|prazos|quando fica pronto|quando chega|quanto tempo|quantos dias|tempo de produção","guiada","Sobre prazos da produção, qual sua dúvida?","Escolha uma opção: Prazo padrão|Com personalização|Pedido urgente|Pedido grande (500+)|Atraso de pedido","4"
"prazo_padrao","prazo padrão|prazo comum|prazo normal|prazo médio|tempo médio de produção","direta","Prazo padrão de produção: 15 a 30 dias úteis dependendo da complexidade e do volume. Peças básicas sem personalização ficam em 15 a 20 dias. Peças com modelagem específica ou personalização, 25 a 30 dias.","","6"
"prazo_com_personalizacao","prazo com personalização|prazo silk|prazo bordado|prazo dtf|prazo de estampa|prazo com bordado","direta","Com personalização, some ao prazo padrão: silkscreen +5 a 7 dias úteis, DTF +2 a 4 dias, bordado +3 a 7 dias, modelagem exclusiva +20 a 30 dias úteis antes da produção começar.","","6"
"prazo_urgente","urgente|pedido urgente|prazo curto|pra ontem|rápido|preciso rápido|tem como adiantar|adiantar prazo|urgencia|tenho urgencia","direta","Atendemos pedidos urgentes mediante disponibilidade da produção e taxa adicional de urgência (20% a 40% sobre o valor). Possível reduzir o prazo em até 40% para volumes pequenos. Para volumes acima de 200 peças, urgência é avaliada caso a caso.","","6"
"prazo_grande_pedido","prazo pedido grande|prazo lote grande|prazo 500 peças|prazo 1000 peças|prazo atacado","direta","Pedidos acima de 500 peças têm planejamento em lotes. Prazo total geralmente fica de 35 a 50 dias úteis, mas o cliente recebe em entregas parciais a cada lote concluído (a cada 100 a 200 peças prontas). O setor de vendas faz cronograma personalizado.","","6"
"prazo_atraso","atrasou|atrasado|atraso|passou do prazo|prazo estourado|não chegou|nao chegou|cadê meu pedido|cade meu pedido","direta","Se o prazo está em atraso, isso é tratado pelo setor de logística, que tem informação consolidada do andamento. Vou te encaminhar.","","6"
"etapas_pedido","etapa do pedido|em que etapa|status do pedido|andamento do pedido|fase do pedido","guiada","Sobre o pedido em andamento, o que você quer saber?","Escolha uma opção: Em que etapa está|Alterar pedido|Cancelar pedido|Acompanhamento detalhado","4"
"etapa_consulta","qual etapa do pedido|fase do meu pedido|onde está meu pedido|status atual","direta","O setor de produção não fornece status em tempo real do pedido para o cliente final — isso é feito pelo setor de logística, que consolida toda a informação. Vou te encaminhar.","","6"
"alterar_pedido","alterar pedido|mudar pedido|modificar pedido|trocar pedido|mudar cor|mudar tamanho do pedido|mudar quantidade","direta","Alterações no pedido só são possíveis enquanto está na fase de modelagem (primeiros 2 a 3 dias após aprovação). Após o corte, alterações são inviáveis. Para verificar se ainda é possível, fale com vendas.","","6"
"cancelar_pedido","cancelar pedido|cancelamento|desistir do pedido|desisti|quero cancelar|cancela","direta","Cancelamento de pedido é tratado pelo setor de vendas, que verifica em qual estágio o pedido está e quais condições contratuais se aplicam (pode haver retenção se a produção já começou).","","6"
"acompanhamento","acompanhar pedido|acompanhamento|tracking|rastrear pedido|seguir pedido","direta","Acompanhamento detalhado da produção é fornecido pelo setor de logística, que consolida etapas e prazos. Vou te encaminhar.","","6"
"atende_empresa","atendem empresa|atendimento b2b|atendem pessoa jurídica|atendem pj|cnpj|nota fiscal|venda pra empresa|fornecedor de empresa","direta","Sim, atendemos empresas (PJ) com pedido mínimo de 50 peças. Emitimos nota fiscal, oferecemos condições de pagamento corporativo (faturamento) e cronograma de entregas. Para fechamento, vou te encaminhar ao setor de vendas.","","6"
"private_label","private label|white label|peça com minha marca|produzem pra outras marcas|marca branca|peça sem marca|sem etiqueta","direta","Sim, fazemos private label (produzimos para outras marcas usarem etiqueta própria). Inclui: produção sem nossa etiqueta, etiqueta da sua marca, embalagem neutra ou com sua identidade. Mínimo de 100 peças por modelo. O setor de vendas explica as condições contratuais.","","6"
"revenda","revender|revendedor|revenda|comprar pra revender|atacadista|distribuidor|distribuir|sacoleira","direta","Trabalhamos com revendedores. Condições: cadastro de CNPJ ativo, primeira compra mínima de 100 peças mistas, descontos progressivos a partir da segunda compra. Para fechamento de parceria, vou te encaminhar ao setor de vendas.","","6"
"uniforme_escolar","uniforme escolar|uniforme de escola|farda escolar|camiseta escolar|conjunto escolar","direta","Fazemos uniforme escolar com personalização (logo da escola, nome do aluno). Atendemos escolas com pedido mínimo de 100 peças por modelo. O contrato pode prever entregas escalonadas durante o ano. Setor de vendas faz o orçamento.","","6"
"atendente_humano","atendente|humano|pessoa real|quero falar com gente|falar com humano|tem alguém aí|só robô|so robo|me transfere|falar com alguém|atendimento humano|gente real|com uma pessoa|pra uma pessoa|falar com uma pessoa|pessoa de verdade","direta","Sem problema! Vou te transferir para um atendente humano do setor de produção. Atendimento humano: segunda a sexta, 8h às 18h. Fora desse horário, deixe sua dúvida que respondemos no próximo dia útil.","","3"
"sobre_o_bot","você é ia|voce e ia|é robô|e robo|você é humano|qual seu nome|você usa chatgpt|você é gpt|inteligência artificial|quem é você|robô da empresa","direta","Sou o assistente virtual do setor de produção da Fashion Flow. Fui criado para responder dúvidas sobre nosso processo, tecidos, personalização e prazos. Se preferir falar com um atendente humano, é só pedir!","","3"
"horario_atendimento","horário de atendimento|horario de atendimento|horário|horario|funcionam que horas|atendem que horas|hora de funcionamento|fim de semana|sábado|sabado|domingo|feriado|que horas","direta","O bot da produção atende 24/7. O atendimento humano funciona de segunda a sexta, das 8h às 18h. Não atendemos no fim de semana nem em feriados nacionais. Pedidos urgentes do fim de semana entram na fila do próximo dia útil.","","3"
"fallback","","fallback","Hmm, não consegui entender bem. Posso te ajudar com: produção, tecidos, personalização, qualidade, sustentabilidade, cuidados, prazos e catálogo. Sobre qual desses você quer saber? Se for outro assunto (preço, entrega, devolução), me avisa que encaminho para o setor certo.","","1"
"setor_almoxarifado","almoxarifado|estoque|estocagem|matéria-prima em estoque|controle de estoque","encaminhamento","Para consulta de estoque e disponibilidade de matéria-prima, vou te encaminhar ao chatbot do almoxarifado: (inserir link).","","9"
"setor_vendas","comprar|compras|vender|venda|preço|preco|valor|valores|custa|quanto custa|tabela de preços|pagamento|pagar|pix|cartão|boleto|parcelar|à vista|desconto|promoção|tá caro|orçamento|orcamento|fechar pedido|quanto sai|quanto cobram|quanto voces cobram","encaminhamento","Para informações sobre valores, formas de pagamento, descontos e fechamento de pedido, vou te encaminhar ao chatbot de vendas: (inserir link).","","9"
"setor_compras","fornecedor|fornecedores|setor de compras|área de compras|aquisição|comprar material|comprar tecido","encaminhamento","Para assuntos relacionados a fornecedores e aquisição de matéria-prima, vou te encaminhar ao chatbot de compras: (inserir link).","","9"
"setor_logistica","encomenda|entrega|entregam|envio|enviado|frete|transportadora|prazo de entrega|região de entrega|exterior|exportação|rastreamento|rastrear|cep|onde está meu pedido|correios|sedex","encaminhamento","Para informações sobre entrega, frete, rastreamento e prazos de envio, vou te encaminhar ao chatbot de logística: (inserir link).","","9"
"setor_devolucao","devolução|devolucao|devolver|troca|trocar|tamanho errado|garantia|veio com defeito|problema com a peça|reclamar|trocar peça|devolvo|dinheiro de volta|reembolso","encaminhamento","Para solicitações de troca, devolução ou problemas com a peça recebida, vou te encaminhar ao chatbot de devoluções: (inserir link).","","9"
"elogios1","muito bom|perfeito|perfeita|parabéns|sensacional|mandou bem|ficou bom|ficou ótimo|que lindo|que massa|gostei muito|nota 10|top|show de bola|show|impressionada|impressionado|ótimo|surpreendente|excelente","direta","Aaah, muito obrigada pelo elogio! Fico feliz em ajudar. Qualquer outra dúvida, é só chamar.","","3"
"elogios2","amei|adorei|nem amo|arrasou|que tudo|belíssimo|divou|diva muito|divonico|arrasa|pisa muito|cunt|achei cunt|amo|achei tudo|maravilhoso|sou fã","direta","Aaai amei demais, divou! Tamo junto, qualquer coisa é só chamar 💖","","3"
"ofensas","porra|desgraça|caralho|fdp|filha da puta|idiota|burro|inútil|ridículo|incompetente|horrível|bosta|merda|vagabundo|imbecil|otário|cuzão|arrombado|maldito|miserável|vsf|vai se foder|seu lixo|peste|safado|canalha|lixo|vai tomar no cu|vtnc|babaca|palhaço|retardado|droga|esse bot é uma droga|esse bot é horrível","direta","Entendo que possa estar frustrado e peço desculpas se algo te incomodou. Vou continuar tentando te ajudar — me conta o que está acontecendo. Se preferir, posso te encaminhar para um atendente humano.","","3"
"combinado_prazo_qtd_produto","prazo de 100 camisetas|prazo de 50 polos|prazo de 200 moletons|quanto tempo 100 peças|quando fica pronto 500 peças|prazo pra 1000 uniformes|prazo para 100 vestidos|prazo de bermudas|prazo de jeans|prazo de calça|prazo de jaqueta","combinada","Consultar tabela lookup_prazo com slots {produto, quantidade, personalizacao}. Resposta dinâmica.","Me confirma: qual o produto, quantas peças e se tem personalização (silk, DTF, bordado ou nenhuma)?","9"
"combinado_prazo_personalizacao_produto","prazo camiseta bordada|prazo polo bordada|prazo camiseta com silk|prazo moletom com estampa|prazo uniforme com logo|prazo de bordado em jeans|tempo de uniforme bordado|prazo polo com logo","combinada","Consultar tabela lookup_prazo. Resposta dinâmica com base em {produto, personalizacao, quantidade}.","Me confirma: qual o produto, quantas peças e qual a técnica de personalização?","9"
"combinado_preco_qtd_produto","preço de 100 camisetas|preço de 50 polos|valor de 200 moletons|quanto custa 100 polos|orçamento 500 camisetas|valor unitário 100 peças|preço camiseta atacado|preço polo atacado","combinada","Consultar tabela lookup_preco com slots {produto, quantidade, personalizacao}. Valor indicativo, fechar com vendas.","Me confirma: produto, quantidade e personalização (se tiver). Posso te dar uma faixa indicativa e te encaminhar pra vendas pra fechar o valor.","9"
"combinado_preco_personalizacao","quanto custa personalização|quanto fica com bordado|quanto fica com silk|quanto fica com estampa|preço com personalização|preço com bordado|preço com logo","combinada","Consultar lookup_preco. Personalização adiciona 10% a 40% sobre o valor base, dependendo da técnica.","Pra te dar a faixa: qual produto, quantidade e qual a técnica de personalização?","9"
"combinado_desconto_volume","desconto por volume|desconto pra atacado|desconto progressivo|quanto desconto pra 500|quanto desconto pra 1000|desconto grande quantidade|desconto pra empresa","direta","Trabalhamos com desconto progressivo por volume: 31-100 peças → 5%; 101-300 → 10%; 301-500 → 15%; 501-1000 → 20%; acima de 1000 → 25% (negociável com vendas). Descontos aplicados sobre o valor unitário base.","","6"
"combinado_tecido_em_produto","algodão em camiseta|jeans em camiseta|viscose em camiseta|linho em vestido|moletom em jaqueta|alfaiataria em calça|dry fit em camiseta|suplex em legging|fazem camiseta em linho|fazem polo em pima|polo em algodão pima","combinada","Consultar lookup_compat_tecido_produto com slots {tecido, produto}. Retorna compatível ou alternativa recomendada.","Me confirma: qual produto e qual tecido você quer combinar?","9"
"combinado_tecidos_disponiveis_para_produto","quais tecidos pra camiseta|quais tecidos pra polo|quais tecidos pra vestido|quais tecidos pra calça|quais tecidos pra moletom|quais tecidos pra uniforme|tecidos disponíveis pra","combinada","Depende do produto! Me diz qual (camiseta, moletom, calça, vestido...) que eu listo os tecidos que combinam.","Qual produto você quer saber os tecidos disponíveis?","9"
"combinado_personalizacao_em_tecido","bordado em jeans|bordado em viscose|bordado em algodão|silk em algodão|silk em viscose|silk em moletom|silk em jeans|dtf em poliéster|dtf em algodão|bordado em dry fit|estampa em viscose|bordado em lã|personalizar em viscose","combinada","Consultar lookup_compat_tecido_personalizacao com slots {tecido, personalizacao}. Retorna recomendação técnica.","Me diga o tecido e a técnica de personalização que você quer combinar.","9"
"combinado_cor_em_tecido","camiseta verde militar em algodão|moletom vermelho|viscose rosa|linho branco|jeans azul|tem camiseta amarela|tem polo branca|tem vestido preto|cor em estoque|cor pronta entrega|tem em estoque cor","combinada","Consultar lookup_cor_tecido com slots {cor, tecido}. Retorna se está em estoque permanente ou se é tingimento sob demanda.","Me confirma: qual cor e qual tecido (ou tipo de peça)?","9"
"combinado_cores_disponiveis_para_tecido","cores em algodão|cores em moletom|cores em viscose|cores em jeans|cores em linho|cores disponíveis em|quais cores tem em","combinada","Consultar lookup_cor_tecido e listar todas as cores em estoque permanente pro tecido consultado.","Qual tecido você quer saber as cores disponíveis?","9"
"combinado_tamanho_em_produto","tem camiseta plus|tem moletom plus|polo plus size|vestido plus size|legging plus|tem camiseta infantil|polo infantil|legging infantil|tamanho infantil de moletom|infantil tem em camiseta|polo no tamanho gg|camiseta xgg|vestido em g4","combinada","Consultar lookup_tamanho_produto com slots {produto, grade}. Confirma disponibilidade da grade no produto.","Me diga qual produto e qual grade (adulto PP-XGG / plus G1-G4 / infantil 2-14 anos)?","9"
"combinado_gramatura_produto_uso","qual gramatura pra camiseta|qual peso de tecido|tecido grosso pra inverno|tecido leve pra verão|camiseta pra verão|moletom pra inverno|gramatura ideal pra polo|tecido encorpado|gramatura corporativa","combinada","Consultar lookup_gramatura com slots {produto, uso}. Retorna faixa de gramatura recomendada em g/m².","Me confirma: qual produto e pra qual uso (verão, inverno, corporativo, esporte)?","9"
"combinado_b2b_uniforme_completo","uniforme empresa preço|uniforme empresa prazo|uniforme com logo prazo|uniforme escolar prazo|uniforme escolar preço|uniforme corporativo orçamento|orçamento uniforme","combinada","Uniforme corporativo: mínimo 50 peças, personalização inclusa (logo bordado ou silk). Prazo 25 a 35 dias úteis com personalização. Valor depende do tipo (polo, jaleco, avental) e da técnica. Vou te encaminhar ao setor de vendas pra orçamento personalizado.","Me confirma: quantas peças, tipo de uniforme (polo, jaleco, avental), e técnica de personalização (silk ou bordado)?","9"
"combinado_pedido_completo","orçamento completo|orçamento total|fechar pedido|monta orçamento|simulação de pedido|fazer cotação","combinada","Pra simular um pedido, preciso de: produto, quantidade, personalização (se tiver), cor, tamanho. Posso dar prazo e faixa indicativa de valor, mas o fechamento é com o setor de vendas.","Me passa: produto + quantidade + personalização + cor + tamanho.","9"
"status_pedido","status do pedido|andamento do pedido|meu pedido|meu lote|saiu do corte|foi para a costura|está no corte|está na costura|etapa do meu pedido|fase do meu pedido|previsão de término|quando termina meu pedido|quando fica pronto meu pedido|acompanhar meu pedido|FF-20","combinada","Consultar lookup_pedidos com slot {numero_pedido}. Se não informado, solicitar o número do pedido. Retornar etapa atual, data prevista e se pode alterar.","Pode me informar o número do pedido? Ex: FF-2025-0389","9"
"alterar_pedido_especifico","alterar tamanho|mudar tamanho|trocar tamanho|alterar cor|mudar cor do pedido|ainda dá tempo de alterar|posso alterar|posso mudar|antes do corte|antes de cortar|dá tempo","combinada","Consultar lookup_pedidos com slot {numero_pedido}. Verificar campo pode_alterar. Se sim, informar que ainda é possível e orientar a contatar vendas. Se não, informar etapa atual e que alterações são inviáveis.","Pode me informar o número do pedido para verificar se ainda está na fase de modelagem?","9"
"viabilidade_producao","capacidade técnica|capacidade de produção|consegue produzir|dá para produzir|tem capacidade|matéria-prima disponível|tem material|tem tecido disponível|tem algodão|tem dry fit|tem malha|produz em|produzir em|em 5 dias|em 3 dias|em uma semana|em quanto tempo consegue|prazo curto","combinada","Consultar lookup_capacidade_produtiva + lookup_estoque_materiais com slots {quantidade, produto, tecido, prazo_desejado}. Verificar ocupação dos setores e disponibilidade do tecido. Retornar viabilidade com justificativa.","Para verificar a viabilidade, preciso saber: produto, quantidade, tecido e prazo desejado.","9"
"consumo_tecido","quantos metros|quantas metros|metro de tecido|metros de tecido|quanto de tecido|tecido suficiente|2 metros|5 metros|tenho metros|usando apenas|com apenas|dá para fazer|dá para produzir com|metros bastam|metros são suficientes","combinada","Consultar lookup_consumo_tecido com slots {produto, quantidade, metragem}. Calcular se a metragem informada é suficiente para a quantidade de peças. Retornar quantos metros são necessários e se a metragem informada cobre.","Para calcular, preciso saber: produto, quantidade de peças e a metragem de tecido disponível.","9"
"registrar_pedido","registrar pedido|registrar um pedido|fazer um pedido|fazer pedido|criar pedido|cadastrar pedido|abrir pedido|novo pedido|quero fazer um pedido|quero registrar|quero encomendar","crud","(Fluxo de conversa — CREATE) Coleta produto, quantidade, cor, tamanho, tecido e personalização e grava no pedidos.csv gerando o ID. A lógica fica em bot/pedidos/criar.py; a coleta no responder.","Vamos registrar seu pedido! Qual produto você quer produzir?","9"
