"tecido","produto","compativel","observacao"
"tencel","jaqueta","nao","Não recomendamos tencel em jaqueta - caimento ou durabilidade inadequada"
"tencel","calca_jeans","nao","Não recomendamos tencel em calca jeans - caimento ou durabilidade inadequada"
"tencel","calca_alfaiataria","nao","Não recomendamos tencel em calca alfaiataria - caimento ou durabilidade inadequada"
"tencel","jogger","nao","Não recomendamos tencel em jogger - caimento ou durabilidade inadequada"
"tencel","legging","nao","Não recomendamos tencel em legging - caimento ou durabilidade inadequada"
"tencel","bermuda","nao","Não recomendamos tencel em bermuda - caimento ou durabilidade inadequada"
"tencel","vestido_midi","sim","tencel é adequado para vestido midi"
"tencel","vestido_longo","nao","Não recomendamos tencel em vestido longo - caimento ou durabilidade inadequada"
"tencel","vestido_camisa","nao","Não recomendamos tencel em vestido camisa - caimento ou durabilidade inadequada"
"tencel","uniforme_polo","nao","Não recomendamos tencel em uniforme polo - caimento ou durabilidade inadequada"
"tencel","uniforme_jaleco","nao","Não recomendamos tencel em uniforme jaleco - caimento ou durabilidade inadequada"
"tencel","uniforme_avental","nao","Não recomendamos tencel em uniforme avental - caimento ou durabilidade inadequada"
"tencel","infantil_camiseta","nao","Não recomendamos tencel em infantil camiseta - caimento ou durabilidade inadequada"
"tencel","infantil_conjunto","nao","Não recomendamos tencel em infantil conjunto - caimento ou durabilidade inadequada"
"tencel","infantil_moletom","nao","Não recomendamos tencel em infantil moletom - caimento ou durabilidade inadequada"
"rPET_reciclado","camiseta_basica","sim","rPET reciclado é adequado para camiseta basica"
"rPET_reciclado","camiseta_premium","nao","Não recomendamos rPET reciclado em camiseta premium - caimento ou durabilidade inadequada"
"rPET_reciclado","regata","sim","rPET reciclado é adequado para regata"
"rPET_reciclado","baby_look","sim","rPET reciclado é adequado para baby look"
"rPET_reciclado","polo","nao","Não recomendamos rPET reciclado em polo - caimento ou durabilidade inadequada"
"rPET_reciclado","oversized","nao","Não recomendamos rPET reciclado em oversized - caimento ou durabilidade inadequada"
"rPET_reciclado","moletom","nao","Não recomendamos rPET reciclado em moletom - caimento ou durabilidade inadequada"
"rPET_reciclado","jaqueta","nao","Não recomendamos rPET reciclado em jaqueta - caimento ou durabilidade inadequada"
"rPET_reciclado","calca_jeans","nao","Não recomendamos rPET reciclado em calca jeans - caimento ou durabilidade inadequada"
"rPET_reciclado","calca_alfaiataria","nao","Não recomendamos rPET reciclado em calca alfaiataria - caimento ou durabilidade inadequada"
"rPET_reciclado","jogger","nao","Não recomendamos rPET reciclado em jogger - caimento ou durabilidade inadequada"
"rPET_reciclado","legging","nao","Não recomendamos rPET reciclado em legging - caimento ou durabilidade inadequada"
"rPET_reciclado","bermuda","nao","Não recomendamos rPET reciclado em bermuda - caimento ou durabilidade inadequada"
"rPET_reciclado","vestido_midi","nao","Não recomendamos rPET reciclado em vestido midi - caimento ou durabilidade inadequada"
"rPET_reciclado","vestido_longo","nao","Não recomendamos rPET reciclado em vestido longo - caimento ou durabilidade inadequada"
"rPET_reciclado","vestido_camisa","nao","Não recomendamos rPET reciclado em vestido camisa - caimento ou durabilidade inadequada"
"rPET_reciclado","uniforme_polo","sim","rPET reciclado é adequado para uniforme polo"
"rPET_reciclado","uniforme_jaleco","nao","Não recomendamos rPET reciclado em uniforme jaleco - caimento ou durabilidade inadequada"
"rPET_reciclado","uniforme_avental","nao","Não recomendamos rPET reciclado em uniforme avental - caimento ou durabilidade inadequada"
"rPET_reciclado","infantil_camiseta","nao","Não recomendamos rPET reciclado em infantil camiseta - caimento ou durabilidade inadequada"
"rPET_reciclado","infantil_conjunto","nao","Não recomendamos rPET reciclado em infantil conjunto - caimento ou durabilidade inadequada"
"rPET_reciclado","infantil_moletom","nao","Não recomendamos rPET reciclado em infantil moletom - caimento ou durabilidade inadequada"
"bambu","camiseta_basica","sim","bambu é adequado para camiseta basica"
"bambu","camiseta_premium","nao","Não recomendamos bambu em camiseta premium - caimento ou durabilidade inadequada"
"bambu","regata","nao","Não recomendamos bambu em regata - caimento ou durabilidade inadequada"
"bambu","baby_look","nao","Não recomendamos bambu em baby look - caimento ou durabilidade inadequada"
"bambu","polo","nao","Não recomendamos bambu em polo - caimento ou durabilidade inadequada"
"bambu","oversized","nao","Não recomendamos bambu em oversized - caimento ou durabilidade inadequada"
"bambu","moletom","nao","Não recomendamos bambu em moletom - caimento ou durabilidade inadequada"
"bambu","jaqueta","nao","Não recomendamos bambu em jaqueta - caimento ou durabilidade inadequada"
"bambu","calca_jeans","nao","Não recomendamos bambu em calca jeans - caimento ou durabilidade inadequada"
"bambu","calca_alfaiataria","nao","Não recomendamos bambu em calca alfaiataria - caimento ou durabilidade inadequada"
"bambu","jogger","nao","Não recomendamos bambu em jogger - caimento ou durabilidade inadequada"
"bambu","legging","nao","Não recomendamos bambu em legging - caimento ou durabilidade inadequada"
"bambu","bermuda","nao","Não recomendamos bambu em bermuda - caimento ou durabilidade inadequada"
"bambu","vestido_midi","nao","Não recomendamos bambu em vestido midi - caimento ou durabilidade inadequada"
"bambu","vestido_longo","nao","Não recomendamos bambu em vestido longo - caimento ou durabilidade inadequada"
"bambu","vestido_camisa","nao","Não recomendamos bambu em vestido camisa - caimento ou durabilidade inadequada"
"bambu","uniforme_polo","nao","Não recomendamos bambu em uniforme polo - caimento ou durabilidade inadequada"
"bambu","uniforme_jaleco","nao","Não recomendamos bambu em uniforme jaleco - caimento ou durabilidade inadequada"
"bambu","uniforme_avental","nao","Não recomendamos bambu em uniforme avental - caimento ou durabilidade inadequada"
"bambu","infantil_camiseta","sim","bambu é adequado para infantil camiseta"
"bambu","infantil_conjunto","nao","Não recomendamos bambu em infantil conjunto - caimento ou durabilidade inadequada"
"bambu","infantil_moletom","nao","Não recomendamos bambu em infantil moletom - caimento ou durabilidade inadequada"
